Unnamed: 0	Institution name	City	State	Control	Type	Religious Affiliation	US News National Rank	US News LAC Rank	Undergraduate enrol ment	Percent of student body that is undergraduate	Total international undergraduates	Undergrad percent international students	International students receiving aid	Estimated cost of at endance (COA)	Types of aid available	Percent of int'l students receiving aid	Average award to international students	Award as percentage of total COA	COA after average award	Total aid in mil ions	Largest merit scholarship available to int'l students	Name of merit scholarship	Merit scholarship info	SAT EBRW 25%ile	SAT EBRW 75%ile	SAT Math 25th %ile	SAT Math 75th %ile	SAT 25%	SAT 75%	Nickname(s)/also called	Unnamed: 31	Overal ac eptance rate	ED2 deadline	Priority Deadline	Final ap lication deadline	Minimum TOEFL	TOEFL Notes	Final min IELTS	Motto
126.0	Whitman College	Walla Walla	     WA	Private	LAC		              -	43	       1,510	1	1510	6.9%	56	$72,300	Both	53.8%	$22,852	0.32	$49,448	$1.3m				630	720	620	730	1250	1450	Whitman		51.7%		15-Nov	15-Jan	85	               n/s	7	
127.0																												0	0										
128.0	American International College	Springfield	MA	Private	Comp.U		230+	-	1.372	0.42	1372	3.0%	54	$58,000	Both	1	$37,792	0.65	$20,208	$2.0m	n/s			450	550	450	540	900	1090	AIC		71.8%			7-Sep	80			
130.0	Bryn Mawr College	Bryn Mawr	PA	Private	Women's		-	27	1.334	0.81	303	22.7%	116	$76,800	Need	38.3%	$55,060	0.72	$21,740	$6.4m				650	730	660	770	1310	1500	Bryn Mawr 		38.0%	1-Jan		15-Jan	100		7	
131.0	College of the Atlantic	Bar Harbor	ME	Private	LAC		-	95	349	0.99	349	21.5%	75	$63,300	Both	1	$45,689	0.72	$17,611	$3.4m				640	700	550	650	1190	1350	COA		67.9%	15-Jan	1-Feb	1-Feb				
132.0	Hartwick College	Oneonta	NY	Private	LAC		-	173	1.201	1	1201	3.0%	36	$66,200	Both	1	$42,805	0.65	$23,395	$1.5m	$28,000		Info	460	540	460	560	920	1100	Hartwick		88.6%		15-Feb	rolling	80		5.5	
133.0	Long Island University - LIU Post	Brookville	NY	Private	Research		-	-	6.316	0.74	389	6.2%	58	$60,700	Merit	14.9%	$41,085	0.68	$19,615	$2.4m	n/s			530	620	525	620	1055	1240	LIU Post		82.7%		1-Dec	rolling	75	80 avg.	6	
134.0	Long Island University-LIU Brooklyn	Brooklyn	NY	Private	Research		-	-	3.945	0.57	136	3.4%	74	$60,700	Merit	54.4%	$42,971	0.71	$17,729	$3.2m				500	610	500	630	1000	1240	LIU Brooklyn		84.3%				75		6	
135.0	Morehouse College	Atlanta	GA	Private	Men's		-	143	2.202	1	2202	1.4%	24	$50,800	Merit	77.4%	$38,701	0.76	$12,099	$0.9m				480	590	470	570	950	1160	Morehouse		74.4%		1-Nov	15-Feb				
136.0	Rockhurst University	Kansas City	MO	Private	Comp.U	Catholic (Jesuit)	-	-	2.208	0.73	33	1.5%	26	$56,000	Both	78.8%	$34,543	0.62	$21,457	$0.9m				510	590	540	640	1050	1230	Rockhurst		72.5%			rolling	80			
137.0	Saint Anselm College	Manchester	NH	Private	LAC	Catholic	-	95	1.964	1	1964	0.6%	11	$64,300	Both	91.7%	$43,613	0.68	$20,687	$0.5m				580	650	560	650	1140	1300	 Saint Anselm College		76.1%			1-Feb	80		6.5	
138.0	Skidmore College	Saratoga Springs	NY	Private	LAC		-	41	2.68	1	2680	11.3%	83	$76,600	Need	27.4%	$63,855	0.83	$12,745	$5.3m				610	700	595	700	1205	1400	Skidmore		24.5%	15-Jan		15-Jan	96		7	
	Rhodes College							55						70000							Full ride	Rhodes Merit Scholarships						1280	1460										
	Hendrix College																																						
	Loyola Marymount University						77														Full tuition	Arrupe Scholarships 						1250	1420										
	George Washington University						62														Full tuition	https://undergraduate.admissions.gwu.edu/merit-scholarships						1310	1490										
	Rollins College						#1 inRegional Universities South														Full tuition	http://www.rollins.edu/admission/application-guide/international-applicants/scholarships-costs.html						1160	1340										
	Barry University						331														Full ride	Stamps Scholarship						890	1082										
	Agnes Scott College							63													Full ride	Marvin B. Perry Presidential Scholarship						1140	1400										
	University of Georgia						49														Full tuition	Bernard Ramsey Honors Scholarship						1270	1450										
	Oglethorpe University						156														Full tuition	James Edward Oglethorpe Scholarship						1070	1280										
	Drake University						137														Full ride	National Alumni Scholarship						1190	1400										
	University at Buffalo						89														Full tuition	http://www.buffalo.edu/internationaladmissions/scholarships						1180	1360										
	Fordham University						72														Full ride	Presidential Scholarship						1300	1480										
	Syracuse university						62														Full tuition	https://www.syracuse.edu/admissions/cost-and-aid/types-of-aid/scholarships/?redirect						1200	1400										
	Arcadia University						#48 inRegional Universities North														Full tuition	https://www.arcadia.edu/admissions/international-admissions/scholarships-work-study-loans						1090	1280										
	Providence College						#1 inRegional Universities North														Full tuition	https://admission.providence.edu/international-applicants-2/cost-financial-aid/																	
	Southern Methodist University						72														Full tuition	http://www.smu.edu/Admission/Apply/FirstYearInternational																	
	Southwestern University							85													Full tuition	https://www.southwestern.edu/scholarships-financial-aid/scholarships/						1150	1330										
	Texas Christian University						89																					1130	1350										
	Simmons University						151													2022-12-01 00:00:00	Full ride	Kotzen Scholarship						1130	1360										
	University of Oregon						103														Full tuition	https://admissions.uoregon.edu/international/scholarships						1130	1350										
	Florida Southern College						#8 inRegional Universities South														Full ride	https://www.flsouthern.edu/admissions/undergraduate/financial-aid/scholarships.aspx						1070	1280										
	Indiana University Bloomington						72														Full ride	https://wellsscholars.indiana.edu/nomination-process/international-high-school-seniors.html						1160	1380										
	Centre College							55													Full ride	https://admission.centre.edu/register/PremierScholarship						1235	1465										
	University of Puget Sound							85													Full ride	https://www.pugetsound.edu/student-financial-services-current-undergraduate-students/scholarships-grants/scholarships/current						1150	1320										
																																							
	Robert Morris University	Pittsburgh					194							45500			28000				Full tuition	https://www.rmu.edu/admissions/financial-aid/scholarships#intl						1040	1230										
																																							
																																							
																																							
																																							
																																							
																																							
	Beloit College																																						
	Bentley																																						
	Case Western Reserve University																																						
	Earlham College																																						
	Indiana University-Bloomington																																						
	Marquette University																																						
	Miami University-Oxford																																						
	Rice University																																						
	Rockhurst University																																						
	St. Olaf College																																						
	University of Alabama-Birmingham																																						
	University of New Hampshire																																						
	University of North Carolina at Charlotte																																						
	University of Rochester																																						
	University of Texas at Dallas																																						
	Wake Forest University																																						
